Time (s),joint 1,joint 2,joint 3,joint 4,joint 5,joint 6
22.6,-7.76E-03,6.90E-03,5.71E-04,-8.55E-03,3.39E-03,4.88E-03
22.65,-3.84E-03,3.47E-03,3.50E-04,-4.25E-03,1.73E-03,2.51E-03
22.7,4.46E-05,-1.91E-05,4.96E-05,2.66E-05,-1.41E-05,6.79E-05
22.75,2.88E-07,1.78E-07,-3.08E-09,1.57E-07,7.02E-08,1.78E-08
22.8,1.48E-04,4.23E-03,-4.07E-03,-1.37E-03,-2.92E-03,4.57E-03
22.85,-1.94E-04,7.98E-03,-8.57E-03,-3.23E-03,-6.51E-03,8.94E-03
22.9,-8.68E-04,1.15E-02,-1.32E-02,-5.35E-03,-1.04E-02,1.31E-02
22.95,-1.86E-03,1.49E-02,-1.81E-02,-7.70E-03,-1.45E-02,1.71E-02
23,-3.14E-03,1.80E-02,-2.30E-02,-1.03E-02,-1.87E-02,2.09E-02
23.05,-4.69E-03,2.09E-02,-2.80E-02,-1.30E-02,-2.32E-02,2.44E-02
23.1,-6.49E-03,2.36E-02,-3.31E-02,-1.59E-02,-2.77E-02,2.77E-02
23.15,-8.49E-03,2.60E-02,-3.81E-02,-1.89E-02,-3.23E-02,3.07E-02
23.2,-1.07E-02,2.82E-02,-4.32E-02,-2.20E-02,-3.69E-02,3.35E-02
23.25,-1.30E-02,3.01E-02,-4.81E-02,-2.51E-02,-4.16E-02,3.61E-02
23.3,-1.54E-02,3.19E-02,-5.29E-02,-2.82E-02,-4.61E-02,3.84E-02
23.35,-1.78E-02,3.34E-02,-5.75E-02,-3.13E-02,-5.05E-02,4.04E-02
23.4,-2.03E-02,3.48E-02,-6.20E-02,-3.44E-02,-5.48E-02,4.23E-02
23.45,-2.27E-02,3.59E-02,-6.62E-02,-3.73E-02,-5.89E-02,4.39E-02
23.5,-2.51E-02,3.69E-02,-7.01E-02,-4.01E-02,-6.28E-02,4.53E-02
23.55,-2.73E-02,3.77E-02,-7.38E-02,-4.27E-02,-6.64E-02,4.66E-02
23.6,-2.94E-02,3.84E-02,-7.72E-02,-4.52E-02,-6.97E-02,4.76E-02
23.65,-3.14E-02,3.89E-02,-8.02E-02,-4.74E-02,-7.27E-02,4.85E-02
23.7,-3.31E-02,3.94E-02,-8.29E-02,-4.94E-02,-7.54E-02,4.92E-02
23.75,-3.47E-02,3.97E-02,-8.51E-02,-5.11E-02,-7.77E-02,4.98E-02
23.8,-3.59E-02,4.00E-02,-8.70E-02,-5.25E-02,-7.96E-02,5.03E-02
23.85,-3.69E-02,4.02E-02,-8.85E-02,-5.36E-02,-8.11E-02,5.07E-02
23.9,-3.77E-02,4.03E-02,-8.96E-02,-5.44E-02,-8.22E-02,5.09E-02
23.95,-3.81E-02,4.04E-02,-9.02E-02,-5.49E-02,-8.28E-02,5.11E-02
24,-3.83E-02,4.04E-02,-9.04E-02,-5.51E-02,-8.31E-02,5.11E-02
24.05,-3.81E-02,4.03E-02,-9.02E-02,-5.49E-02,-8.29E-02,5.11E-02
24.1,-3.77E-02,4.02E-02,-8.96E-02,-5.44E-02,-8.22E-02,5.09E-02
24.15,-3.69E-02,4.01E-02,-8.85E-02,-5.36E-02,-8.12E-02,5.07E-02
24.2,-3.59E-02,3.99E-02,-8.70E-02,-5.25E-02,-7.97E-02,5.03E-02
24.25,-3.47E-02,3.96E-02,-8.52E-02,-5.11E-02,-7.78E-02,4.98E-02
24.3,-3.31E-02,3.92E-02,-8.29E-02,-4.94E-02,-7.56E-02,4.92E-02
24.35,-3.14E-02,3.87E-02,-8.02E-02,-4.75E-02,-7.29E-02,4.85E-02
24.4,-2.95E-02,3.81E-02,-7.72E-02,-4.53E-02,-7.00E-02,4.76E-02
24.45,-2.73E-02,3.74E-02,-7.39E-02,-4.29E-02,-6.67E-02,4.66E-02
24.5,-2.51E-02,3.66E-02,-7.02E-02,-4.02E-02,-6.31E-02,4.54E-02
24.55,-2.27E-02,3.56E-02,-6.62E-02,-3.75E-02,-5.92E-02,4.39E-02
24.6,-2.03E-02,3.44E-02,-6.20E-02,-3.45E-02,-5.52E-02,4.23E-02
24.65,-1.78E-02,3.30E-02,-5.76E-02,-3.15E-02,-5.09E-02,4.05E-02
24.7,-1.54E-02,3.15E-02,-5.30E-02,-2.84E-02,-4.65E-02,3.84E-02
24.75,-1.30E-02,2.97E-02,-4.82E-02,-2.53E-02,-4.19E-02,3.61E-02
24.8,-1.07E-02,2.77E-02,-4.32E-02,-2.22E-02,-3.74E-02,3.36E-02
24.85,-8.50E-03,2.55E-02,-3.82E-02,-1.91E-02,-3.27E-02,3.08E-02
24.9,-6.49E-03,2.31E-02,-3.32E-02,-1.61E-02,-2.81E-02,2.77E-02
24.95,-4.70E-03,2.04E-02,-2.82E-02,-1.32E-02,-2.36E-02,2.44E-02
25,-3.14E-03,1.75E-02,-2.31E-02,-1.05E-02,-1.92E-02,2.09E-02
25.05,-1.85E-03,1.44E-02,-1.82E-02,-7.89E-03,-1.49E-02,1.72E-02
25.1,-8.55E-04,1.10E-02,-1.34E-02,-5.54E-03,-1.08E-02,1.32E-02
25.15,-1.77E-04,7.48E-03,-8.71E-03,-3.42E-03,-6.97E-03,8.98E-03
25.2,1.72E-04,3.74E-03,-4.23E-03,-1.55E-03,-3.37E-03,4.62E-03
25.25,1.83E-04,-1.71E-04,4.58E-05,5.20E-05,-6.80E-05,8.98E-05
25.3,-1.47E-04,-4.23E-03,4.07E-03,1.37E-03,2.92E-03,-4.58E-03
25.35,-8.12E-04,-8.42E-03,7.83E-03,2.39E-03,5.58E-03,-9.35E-03
25.4,-1.80E-03,-1.27E-02,1.13E-02,3.13E-03,7.90E-03,-1.42E-02
25.45,-3.10E-03,-1.71E-02,1.45E-02,3.58E-03,9.87E-03,-1.91E-02
25.5,-4.69E-03,-2.15E-02,1.74E-02,3.74E-03,1.15E-02,-2.41E-02
25.55,-6.54E-03,-2.59E-02,1.99E-02,3.65E-03,1.28E-02,-2.90E-02
25.6,-8.61E-03,-3.03E-02,2.21E-02,3.30E-03,1.37E-02,-3.39E-02
25.65,-1.09E-02,-3.47E-02,2.41E-02,2.74E-03,1.44E-02,-3.87E-02
25.7,-1.33E-02,-3.90E-02,2.57E-02,1.97E-03,1.47E-02,-4.34E-02
25.75,-1.59E-02,-4.32E-02,2.71E-02,1.03E-03,1.48E-02,-4.80E-02
25.8,-1.85E-02,-4.72E-02,2.82E-02,-5.00E-05,1.47E-02,-5.24E-02
25.85,-2.11E-02,-5.11E-02,2.91E-02,-1.24E-03,1.43E-02,-5.67E-02
25.9,-2.38E-02,-5.48E-02,2.97E-02,-2.50E-03,1.38E-02,-6.07E-02
25.95,-2.64E-02,-5.83E-02,3.02E-02,-3.81E-03,1.32E-02,-6.45E-02
26,-2.89E-02,-6.16E-02,3.05E-02,-5.13E-03,1.25E-02,-6.80E-02
26.05,-3.13E-02,-6.46E-02,3.07E-02,-6.43E-03,1.17E-02,-7.13E-02
26.1,-3.36E-02,-6.74E-02,3.07E-02,-7.67E-03,1.09E-02,-7.43E-02
26.15,-3.56E-02,-6.99E-02,3.07E-02,-8.84E-03,1.01E-02,-7.69E-02
26.2,-3.75E-02,-7.20E-02,3.07E-02,-9.91E-03,9.36E-03,-7.93E-02
26.25,-3.91E-02,-7.39E-02,3.06E-02,-1.09E-02,8.68E-03,-8.13E-02
26.3,-4.04E-02,-7.54E-02,3.05E-02,-1.17E-02,8.10E-03,-8.29E-02
26.35,-4.15E-02,-7.66E-02,3.04E-02,-1.23E-02,7.62E-03,-8.42E-02
26.4,-4.23E-02,-7.75E-02,3.03E-02,-1.28E-02,7.28E-03,-8.51E-02
26.45,-4.27E-02,-7.80E-02,3.03E-02,-1.30E-02,7.07E-03,-8.57E-02
26.5,-4.29E-02,-7.81E-02,3.03E-02,-1.31E-02,7.00E-03,-8.59E-02
26.55,-4.27E-02,-7.80E-02,3.03E-02,-1.30E-02,7.09E-03,-8.57E-02
26.6,-4.23E-02,-7.74E-02,3.04E-02,-1.27E-02,7.31E-03,-8.51E-02
26.65,-4.15E-02,-7.65E-02,3.05E-02,-1.23E-02,7.67E-03,-8.42E-02
26.7,-4.04E-02,-7.53E-02,3.06E-02,-1.16E-02,8.16E-03,-8.29E-02
26.75,-3.91E-02,-7.38E-02,3.07E-02,-1.08E-02,8.76E-03,-8.13E-02
26.8,-3.75E-02,-7.19E-02,3.08E-02,-9.88E-03,9.46E-03,-7.93E-02
26.85,-3.57E-02,-6.97E-02,3.08E-02,-8.81E-03,1.02E-02,-7.69E-02
26.9,-3.36E-02,-6.72E-02,3.08E-02,-7.63E-03,1.10E-02,-7.43E-02
26.95,-3.14E-02,-6.44E-02,3.08E-02,-6.37E-03,1.18E-02,-7.13E-02
27,-2.90E-02,-6.14E-02,3.06E-02,-5.07E-03,1.26E-02,-6.81E-02
27.05,-2.64E-02,-5.81E-02,3.03E-02,-3.74E-03,1.34E-02,-6.45E-02
27.1,-2.38E-02,-5.45E-02,2.98E-02,-2.43E-03,1.40E-02,-6.07E-02
27.15,-2.12E-02,-5.08E-02,2.92E-02,-1.16E-03,1.45E-02,-5.67E-02
27.2,-1.85E-02,-4.69E-02,2.83E-02,3.65E-05,1.49E-02,-5.25E-02
27.25,-1.59E-02,-4.28E-02,2.72E-02,1.12E-03,1.51E-02,-4.80E-02
27.3,-1.34E-02,-3.86E-02,2.59E-02,2.07E-03,1.50E-02,-4.34E-02
27.35,-1.09E-02,-3.43E-02,2.42E-02,2.85E-03,1.47E-02,-3.87E-02
27.4,-8.66E-03,-2.99E-02,2.23E-02,3.42E-03,1.41E-02,-3.39E-02
27.45,-6.59E-03,-2.55E-02,2.01E-02,3.77E-03,1.31E-02,-2.90E-02
27.5,-4.74E-03,-2.10E-02,1.75E-02,3.88E-03,1.19E-02,-2.41E-02
27.55,-3.15E-03,-1.66E-02,1.46E-02,3.72E-03,1.03E-02,-1.92E-02
27.6,-1.84E-03,-1.23E-02,1.15E-02,3.28E-03,8.31E-03,-1.43E-02
27.65,-8.49E-04,-7.95E-03,7.99E-03,2.55E-03,6.01E-03,-9.39E-03
27.7,-1.79E-04,-3.75E-03,4.23E-03,1.54E-03,3.36E-03,-4.62E-03
27.75,1.55E-04,3.18E-04,2.00E-04,2.27E-04,3.75E-04,4.86E-05
27.8,4.41E-07,1.63E-06,-1.21E-08,9.17E-07,5.58E-07,-1.36E-08
27.85,1.87E-03,2.43E-03,-4.29E-03,-3.60E-04,3.87E-03,-3.51E-03
27.9,3.59E-03,4.74E-03,-8.60E-03,-8.80E-04,7.67E-03,-7.06E-03
27.95,5.22E-03,6.97E-03,-1.29E-02,-1.47E-03,1.14E-02,-1.06E-02
28,6.76E-03,9.10E-03,-1.72E-02,-2.13E-03,1.50E-02,-1.42E-02
28.05,8.21E-03,1.11E-02,-2.15E-02,-2.86E-03,1.85E-02,-1.78E-02
28.1,9.56E-03,1.31E-02,-2.57E-02,-3.63E-03,2.19E-02,-2.13E-02
28.15,1.08E-02,1.49E-02,-2.98E-02,-4.46E-03,2.52E-02,-2.48E-02
28.2,1.20E-02,1.66E-02,-3.39E-02,-5.32E-03,2.83E-02,-2.82E-02
28.25,1.30E-02,1.82E-02,-3.78E-02,-6.21E-03,3.13E-02,-3.16E-02
28.3,1.40E-02,1.97E-02,-4.16E-02,-7.12E-03,3.41E-02,-3.48E-02
28.35,1.48E-02,2.10E-02,-4.53E-02,-8.04E-03,3.67E-02,-3.80E-02
28.4,1.56E-02,2.23E-02,-4.88E-02,-8.96E-03,3.92E-02,-4.10E-02
28.45,1.63E-02,2.34E-02,-5.21E-02,-9.86E-03,4.15E-02,-4.38E-02
28.5,1.69E-02,2.44E-02,-5.52E-02,-1.07E-02,4.37E-02,-4.65E-02
28.55,1.75E-02,2.54E-02,-5.81E-02,-1.16E-02,4.56E-02,-4.90E-02
28.6,1.79E-02,2.62E-02,-6.07E-02,-1.24E-02,4.74E-02,-5.13E-02
28.65,1.83E-02,2.69E-02,-6.32E-02,-1.31E-02,4.90E-02,-5.34E-02
28.7,1.86E-02,2.75E-02,-6.53E-02,-1.38E-02,5.04E-02,-5.53E-02
28.75,1.89E-02,2.81E-02,-6.72E-02,-1.44E-02,5.16E-02,-5.70E-02
28.8,1.91E-02,2.85E-02,-6.89E-02,-1.49E-02,5.26E-02,-5.84E-02
28.85,1.93E-02,2.89E-02,-7.02E-02,-1.54E-02,5.34E-02,-5.96E-02
28.9,1.95E-02,2.91E-02,-7.12E-02,-1.57E-02,5.41E-02,-6.05E-02
28.95,1.96E-02,2.93E-02,-7.20E-02,-1.60E-02,5.45E-02,-6.11E-02
29,1.96E-02,2.95E-02,-7.24E-02,-1.61E-02,5.48E-02,-6.15E-02
29.05,1.96E-02,2.95E-02,-7.26E-02,-1.62E-02,5.49E-02,-6.17E-02
29.1,1.96E-02,2.95E-02,-7.24E-02,-1.61E-02,5.48E-02,-6.15E-02
29.15,1.95E-02,2.93E-02,-7.20E-02,-1.60E-02,5.45E-02,-6.11E-02
29.2,1.94E-02,2.91E-02,-7.12E-02,-1.57E-02,5.41E-02,-6.05E-02
29.25,1.93E-02,2.89E-02,-7.02E-02,-1.54E-02,5.34E-02,-5.96E-02
29.3,1.91E-02,2.85E-02,-6.88E-02,-1.50E-02,5.26E-02,-5.84E-02
29.35,1.89E-02,2.81E-02,-6.72E-02,-1.44E-02,5.16E-02,-5.70E-02
29.4,1.86E-02,2.75E-02,-6.53E-02,-1.38E-02,5.04E-02,-5.53E-02
29.45,1.83E-02,2.69E-02,-6.31E-02,-1.32E-02,4.90E-02,-5.34E-02
29.5,1.79E-02,2.62E-02,-6.07E-02,-1.24E-02,4.74E-02,-5.13E-02
29.55,1.74E-02,2.54E-02,-5.81E-02,-1.16E-02,4.56E-02,-4.90E-02
29.6,1.69E-02,2.44E-02,-5.52E-02,-1.08E-02,4.37E-02,-4.65E-02
29.65,1.63E-02,2.34E-02,-5.20E-02,-9.92E-03,4.16E-02,-4.38E-02
29.7,1.56E-02,2.23E-02,-4.87E-02,-9.02E-03,3.93E-02,-4.10E-02
29.75,1.48E-02,2.10E-02,-4.52E-02,-8.11E-03,3.68E-02,-3.79E-02
29.8,1.39E-02,1.97E-02,-4.16E-02,-7.20E-03,3.41E-02,-3.48E-02
29.85,1.30E-02,1.82E-02,-3.78E-02,-6.29E-03,3.13E-02,-3.16E-02
29.9,1.19E-02,1.66E-02,-3.38E-02,-5.40E-03,2.83E-02,-2.82E-02
29.95,1.08E-02,1.49E-02,-2.98E-02,-4.54E-03,2.52E-02,-2.48E-02
30,9.50E-03,1.31E-02,-2.56E-02,-3.72E-03,2.20E-02,-2.13E-02
30.05,8.15E-03,1.11E-02,-2.14E-02,-2.94E-03,1.86E-02,-1.77E-02
30.1,6.70E-03,9.10E-03,-1.72E-02,-2.22E-03,1.50E-02,-1.42E-02
30.15,5.16E-03,6.97E-03,-1.29E-02,-1.56E-03,1.14E-02,-1.06E-02
30.2,3.53E-03,4.74E-03,-8.54E-03,-9.68E-04,7.70E-03,-7.01E-03
30.25,1.81E-03,2.42E-03,-4.23E-03,-4.48E-04,3.91E-03,-3.46E-03
30.3,6.04E-06,3.29E-05,5.20E-05,-5.02E-06,4.37E-05,5.24E-05
30.35,-1.87E-03,-2.43E-03,4.29E-03,3.60E-04,-3.87E-03,3.51E-03
30.4,-3.80E-03,-4.94E-03,8.47E-03,6.45E-04,-7.81E-03,6.90E-03
30.45,-5.79E-03,-7.50E-03,1.26E-02,8.50E-04,-1.18E-02,1.02E-02
30.5,-7.82E-03,-1.01E-02,1.66E-02,9.77E-04,-1.57E-02,1.34E-02
30.55,-9.89E-03,-1.27E-02,2.05E-02,1.03E-03,-1.97E-02,1.65E-02
30.6,-1.20E-02,-1.53E-02,2.43E-02,1.01E-03,-2.36E-02,1.95E-02
30.65,-1.41E-02,-1.79E-02,2.79E-02,9.20E-04,-2.74E-02,2.24E-02
30.7,-1.62E-02,-2.05E-02,3.14E-02,7.71E-04,-3.11E-02,2.51E-02
30.75,-1.82E-02,-2.30E-02,3.47E-02,5.67E-04,-3.48E-02,2.77E-02
30.8,-2.02E-02,-2.55E-02,3.79E-02,3.17E-04,-3.83E-02,3.01E-02
30.85,-2.22E-02,-2.79E-02,4.09E-02,2.70E-05,-4.18E-02,3.24E-02
30.9,-2.41E-02,-3.02E-02,4.37E-02,-2.93E-04,-4.50E-02,3.45E-02
30.95,-2.60E-02,-3.24E-02,4.63E-02,-6.36E-04,-4.81E-02,3.65E-02
31,-2.77E-02,-3.45E-02,4.88E-02,-9.91E-04,-5.10E-02,3.83E-02
31.05,-2.93E-02,-3.65E-02,5.10E-02,-1.35E-03,-5.37E-02,4.00E-02
31.1,-3.09E-02,-3.83E-02,5.30E-02,-1.71E-03,-5.62E-02,4.14E-02
31.15,-3.23E-02,-3.99E-02,5.48E-02,-2.05E-03,-5.85E-02,4.28E-02
31.2,-3.35E-02,-4.14E-02,5.64E-02,-2.37E-03,-6.05E-02,4.40E-02
31.25,-3.46E-02,-4.27E-02,5.78E-02,-2.67E-03,-6.23E-02,4.50E-02
31.3,-3.56E-02,-4.39E-02,5.90E-02,-2.93E-03,-6.38E-02,4.58E-02
31.35,-3.64E-02,-4.48E-02,5.99E-02,-3.15E-03,-6.51E-02,4.65E-02
31.4,-3.70E-02,-4.55E-02,6.07E-02,-3.33E-03,-6.61E-02,4.71E-02
31.45,-3.75E-02,-4.60E-02,6.12E-02,-3.46E-03,-6.68E-02,4.74E-02
31.5,-3.77E-02,-4.64E-02,6.16E-02,-3.53E-03,-6.72E-02,4.77E-02
31.55,-3.78E-02,-4.65E-02,6.17E-02,-3.56E-03,-6.74E-02,4.77E-02
31.6,-3.77E-02,-4.64E-02,6.16E-02,-3.53E-03,-6.72E-02,4.77E-02
31.65,-3.74E-02,-4.60E-02,6.12E-02,-3.44E-03,-6.68E-02,4.74E-02
31.7,-3.70E-02,-4.55E-02,6.07E-02,-3.31E-03,-6.61E-02,4.70E-02
31.75,-3.64E-02,-4.48E-02,5.99E-02,-3.13E-03,-6.51E-02,4.65E-02
31.8,-3.56E-02,-4.39E-02,5.90E-02,-2.90E-03,-6.38E-02,4.58E-02
31.85,-3.46E-02,-4.27E-02,5.78E-02,-2.64E-03,-6.23E-02,4.49E-02
31.9,-3.35E-02,-4.14E-02,5.64E-02,-2.34E-03,-6.05E-02,4.39E-02
31.95,-3.22E-02,-3.99E-02,5.48E-02,-2.01E-03,-5.85E-02,4.28E-02
32,-3.08E-02,-3.83E-02,5.30E-02,-1.66E-03,-5.62E-02,4.14E-02
32.05,-2.93E-02,-3.65E-02,5.09E-02,-1.30E-03,-5.37E-02,3.99E-02
32.1,-2.77E-02,-3.45E-02,4.87E-02,-9.38E-04,-5.10E-02,3.83E-02
32.15,-2.59E-02,-3.24E-02,4.63E-02,-5.78E-04,-4.81E-02,3.64E-02
32.2,-2.41E-02,-3.02E-02,4.37E-02,-2.32E-04,-4.50E-02,3.45E-02
32.25,-2.22E-02,-2.79E-02,4.09E-02,9.26E-05,-4.18E-02,3.23E-02
32.3,-2.02E-02,-2.55E-02,3.79E-02,3.86E-04,-3.84E-02,3.01E-02
32.35,-1.82E-02,-2.30E-02,3.47E-02,6.40E-04,-3.48E-02,2.76E-02
32.4,-1.61E-02,-2.05E-02,3.13E-02,8.46E-04,-3.12E-02,2.50E-02
32.45,-1.40E-02,-1.79E-02,2.78E-02,9.98E-04,-2.74E-02,2.23E-02
32.5,-1.19E-02,-1.53E-02,2.42E-02,1.09E-03,-2.36E-02,1.94E-02
32.55,-9.83E-03,-1.27E-02,2.04E-02,1.11E-03,-1.97E-02,1.65E-02
32.6,-7.77E-03,-1.01E-02,1.65E-02,1.06E-03,-1.58E-02,1.34E-02
32.65,-5.73E-03,-7.50E-03,1.25E-02,9.36E-04,-1.18E-02,1.02E-02
32.7,-3.74E-03,-4.94E-03,8.41E-03,7.32E-04,-7.85E-03,6.84E-03
32.75,-1.81E-03,-2.43E-03,4.23E-03,4.48E-04,-3.91E-03,3.46E-03
32.8,6.61E-05,3.43E-05,-9.43E-06,8.35E-05,4.99E-06,2.58E-06
32.85,1.09E-07,7.43E-08,2.93E-07,-4.88E-08,-1.16E-07,3.62E-07
32.9,4.72E-03,4.72E-03,4.72E-03,-4.88E-03,-4.88E-03,-4.88E-03
32.95,9.26E-03,9.26E-03,9.26E-03,-9.90E-03,-9.90E-03,-9.90E-03
33,1.36E-02,1.36E-02,1.36E-02,-1.50E-02,-1.50E-02,-1.50E-02
33.05,1.77E-02,1.77E-02,1.77E-02,-2.02E-02,-2.02E-02,-2.02E-02
33.1,2.15E-02,2.15E-02,2.15E-02,-2.54E-02,-2.54E-02,-2.54E-02
33.15,2.51E-02,2.51E-02,2.51E-02,-3.06E-02,-3.06E-02,-3.06E-02
33.2,2.84E-02,2.84E-02,2.84E-02,-3.58E-02,-3.58E-02,-3.58E-02
33.25,3.14E-02,3.14E-02,3.14E-02,-4.09E-02,-4.09E-02,-4.09E-02
33.3,3.42E-02,3.42E-02,3.42E-02,-4.58E-02,-4.59E-02,-4.59E-02
33.35,3.67E-02,3.66E-02,3.66E-02,-5.07E-02,-5.08E-02,-5.07E-02
33.4,3.89E-02,3.88E-02,3.88E-02,-5.54E-02,-5.54E-02,-5.54E-02
33.45,4.08E-02,4.07E-02,4.08E-02,-5.99E-02,-5.99E-02,-5.99E-02
33.5,4.25E-02,4.24E-02,4.24E-02,-6.41E-02,-6.42E-02,-6.42E-02
33.55,4.39E-02,4.39E-02,4.39E-02,-6.82E-02,-6.82E-02,-6.82E-02
33.6,4.52E-02,4.51E-02,4.51E-02,-7.19E-02,-7.20E-02,-7.19E-02
33.65,4.62E-02,4.61E-02,4.62E-02,-7.53E-02,-7.54E-02,-7.54E-02
33.7,4.71E-02,4.70E-02,4.70E-02,-7.85E-02,-7.85E-02,-7.85E-02
33.75,4.78E-02,4.77E-02,4.78E-02,-8.13E-02,-8.13E-02,-8.13E-02
33.8,4.84E-02,4.83E-02,4.84E-02,-8.37E-02,-8.38E-02,-8.37E-02
33.85,4.88E-02,4.88E-02,4.88E-02,-8.58E-02,-8.59E-02,-8.58E-02
33.9,4.92E-02,4.92E-02,4.92E-02,-8.75E-02,-8.76E-02,-8.76E-02
33.95,4.94E-02,4.94E-02,4.94E-02,-8.89E-02,-8.89E-02,-8.89E-02
34,4.96E-02,4.96E-02,4.96E-02,-8.99E-02,-8.99E-02,-8.99E-02
34.05,4.97E-02,4.97E-02,4.97E-02,-9.05E-02,-9.05E-02,-9.05E-02
